"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rps4x1",3.10047798526181e-26,0.613260407865906,1,0.916,4.98649874369656e-22,"1","Rps4x"
"Rpl111",4.03612650188403e-26,0.553414368524975,0.999,0.913,6.49130225298009e-22,"1","Rpl11"
"Skap1",7.27177261181985e-26,1.1853457040634,0.526,0.039,1.16951918915899e-21,"1","Skap1"
"Rps111",8.51280441480091e-26,0.542694345036861,0.997,0.945,1.36911433403243e-21,"1","Rps11"
"Saraf1",4.20459021170738e-25,1.10000433835692,0.669,0.184,6.76224243748898e-21,"1","Saraf"
"Rpl361",4.23518617006672e-25,0.552781928105251,0.999,0.903,6.81144991731831e-21,"1","Rpl36"
"Gm94931",4.83110150174216e-25,0.718681165188648,0.977,0.789,7.76986054525191e-21,"1","Gm9493"
"Eef1a11",5.17516951467413e-25,0.545570517147642,1,0.954,8.3232251304504e-21,"1","Eef1a1"
"Rps81",5.50985454233425e-25,0.574203943734251,0.997,0.931,8.86149906043618e-21,"1","Rps8"
"Rps27a",1.80000777881279e-24,0.492880550143987,1,0.969,2.89495251066461e-20,"1","Rps27a"
"Rps131",2.41048676360781e-24,0.592964519349662,1,0.923,3.87678586191044e-20,"1","Rps13"
"Rpl10a1",2.47761970098766e-24,0.59543043281807,0.995,0.838,3.98475576509846e-20,"1","Rpl10a"
"Rpl36a1",3.62438542401399e-24,0.66421140853333,0.989,0.861,5.8290990774417e-20,"1","Rpl36a"
"Tcf7",3.6786147371425e-24,1.18544681906329,0.42,0.016,5.91631608174628e-20,"1","Tcf7"
"Rpsa1",6.9945682041368e-24,0.714042633718421,0.995,0.858,1.12493640427132e-19,"1","Rpsa"
"Rpl81",1.58066286955046e-23,0.587589604913366,1,0.922,2.54218009309801e-19,"1","Rpl8"
"Rps18-ps31",2.24373802702159e-23,0.771856843425831,0.93,0.65,3.60860386885882e-19,"1","Rps18-ps3"
"Rps51",4.14730119568949e-23,0.562323770598154,1,0.917,6.67010451302741e-19,"1","Rps5"
"Rps22",5.88406060183756e-23,0.608806942172551,0.993,0.891,9.46333466593535e-19,"1","Rps2"
"Rpl351",1.10207035622705e-22,0.540962808961827,0.996,0.887,1.77245975391997e-18,"1","Rpl35"
"Rpl61",2.14603880565325e-22,0.528384006954504,1,0.922,3.45147421113211e-18,"1","Rpl6"
"Rpl141",3.52609871257712e-22,0.614385999170483,1,0.899,5.67102455943778e-18,"1","Rpl14"
"Cd8b1",3.72268826356613e-22,1.58726861128728,0.38,0.012,5.98719953429341e-18,"1","Cd8b1"
"Rpl131",8.79729069244034e-22,0.563345807594876,1,0.946,1.41486826206518e-17,"1","Rpl13"
"Wdr891",1.98811126716069e-21,0.617108120592857,0.979,0.855,3.19747935097453e-17,"1","Wdr89"
"Hcst1",2.02512802426262e-21,0.891158027673016,0.679,0.21,3.25701340142158e-17,"1","Hcst"
"Rpl311",3.15976478911873e-21,0.483017386360357,0.99,0.916,5.08184971033965e-17,"1","Rpl31"
"Cd3e",6.26285482729207e-21,1.20764019891072,0.428,0.009,1.00725494187338e-16,"1","Cd3e"
"Rpl22l1",6.31920273289405e-21,0.702871435171417,0.921,0.681,1.01631737553135e-16,"1","Rpl22l1"
"Rpl301",1.39464877196571e-20,0.54729742173838,0.997,0.911,2.24301361995245e-16,"1","Rpl30"
"Rpl24",1.48030363345797e-20,0.477325509654909,0.993,0.88,2.38077233369045e-16,"1","Rpl24"
"Rpl91",2.40734766753055e-20,0.541253171713922,0.998,0.941,3.87173725368939e-16,"1","Rpl9"
"Rpl23a-ps31",2.95517324109548e-20,0.586397296470907,0.987,0.851,4.75280512365386e-16,"1","Rpl23a-ps3"
"Rpl13a-ps11",4.71754500175139e-20,0.533289026840467,0.66,0.343,7.58722762631676e-16,"1","Rpl13a-ps1"
"Rpl381",8.27482990997193e-20,0.470892402827762,0.998,0.916,1.33084089442079e-15,"1","Rpl38"
"Rps151",3.64525543603531e-19,0.491287004114483,0.996,0.924,5.86266431777559e-15,"1","Rps15"
"Rps211",4.46751065183984e-19,0.534685729628405,0.999,0.916,7.18509738135401e-15,"1","Rps21"
"Rpl5",5.78447388038572e-19,0.722816833521933,0.962,0.749,9.30316934182435e-15,"1","Rpl5"
"Bcl11b",6.14720892760979e-19,0.938548895617597,0.308,0.009,9.88655611827483e-15,"1","Bcl11b"
"Rps171",8.03004568415608e-19,0.481640714228496,0.991,0.893,1.29147224738282e-14,"1","Rps17"
"Rpl35a1",3.5792691017932e-18,0.417444154368266,1,0.948,5.756538496414e-14,"1","Rpl35a"
"Rpl27a1",4.68528112392936e-18,0.477321458400654,1,0.948,7.53533763161559e-14,"1","Rpl27a"
"Dapl1",5.71948645284905e-18,1.5251319974322,0.356,0.007,9.19865006211713e-14,"1","Dapl1"
"Cd28",6.86165708803488e-18,1.0489005707176,0.338,0.012,1.10356030946865e-13,"1","Cd28"
"Klk8",7.92111038160933e-18,0.868735240607394,0.322,0.024,1.27395218267423e-13,"1","Klk8"
"Rps27rt1",8.70052120859201e-18,0.483934569623712,0.999,0.923,1.39930482597785e-13,"1","Rps27rt"
"Rps201",1.06795270673772e-17,0.562176301786845,0.997,0.897,1.71758833824628e-13,"1","Rps20"
"Rpl37a1",1.07943354302443e-17,0.440775627400044,0.999,0.971,1.7360529672462e-13,"1","Rpl37a"
