"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gm43603",1.92037587000899e-23,1.46660902881528,0.62,0.11,3.08854051173546e-19,"0","Gm43603"
"Rpl13a",2.07353033449313e-23,0.517987181377934,0.999,0.945,3.33485883696531e-19,"0","Rpl13a"
"Rps21",1.4835119217922e-22,0.450998802913344,0.991,0.908,2.38593222381839e-18,"0","Rps21"
"Fcmr",2.7199832791128e-22,1.41886474326024,0.653,0.122,4.37454910779712e-18,"0","Fcmr"
"Rps15",6.2415946504057e-22,0.551734985448126,0.997,0.915,1.00383566762475e-17,"0","Rps15"
"Rps13",8.77573069236053e-22,0.523388059129598,0.996,0.915,1.41140076725234e-17,"0","Rps13"
"Rps29",4.99297022658797e-21,0.370221669805837,1,0.972,8.03019401542143e-17,"0","Rps29"
"Rps3a1",2.23861523818203e-20,0.405386810140382,0.997,0.906,3.60036488756815e-16,"0","Rps3a1"
"Gm9843",2.62472588038738e-20,0.518370829613089,0.994,0.927,4.22134663342702e-16,"0","Gm9843"
"Rps5",6.01505102678106e-20,0.462517114239676,0.994,0.908,9.67400656637199e-16,"0","Rps5"
"Rpl19",6.60476838298276e-20,0.42716190827913,0.997,0.921,1.06224489903512e-15,"0","Rpl19"
"Rps7",1.85017945077169e-19,0.462376226664083,0.998,0.901,2.97564361067611e-15,"0","Rps7"
"Rpl4",4.62282800842783e-19,0.489629442179421,0.973,0.858,7.43489428595448e-15,"0","Rpl4"
"Cd37",3.90600232111333e-18,1.0551300750949,0.653,0.274,6.28202353304657e-14,"0","Cd37"
"Rpl8",4.34760347762087e-18,0.476047506731347,0.994,0.913,6.99225067305764e-14,"0","Rpl8"
"Rpl39",5.36581504089578e-18,0.431051288899826,0.999,0.943,8.62984033027268e-14,"0","Rpl39"
"Mef2c",5.37571395739766e-18,1.23648436309833,0.66,0.226,8.64576075768265e-14,"0","Mef2c"
"Rpl12",6.54366284189525e-18,0.529787525886867,0.971,0.815,1.05241729486201e-13,"0","Rpl12"
"Rps18",7.53700308527407e-18,0.418778863260552,0.998,0.899,1.21217620620463e-13,"0","Rps18"
"Rpl30",8.44211557729103e-18,0.445785483441416,0.986,0.903,1.35774544829572e-13,"0","Rpl30"
"Rpl37a",1.84968396250423e-17,0.383917663798688,1,0.967,2.97484671689556e-13,"0","Rpl37a"
"Siglecg",1.98899818643167e-17,1.08649388448612,0.418,0.095,3.19890578323805e-13,"0","Siglecg"
"Bank1",2.11241934409233e-17,1.24629485657158,0.477,0.089,3.39740403110369e-13,"0","Bank1"
"Rps6",2.39108777844287e-17,0.390441806736383,0.992,0.913,3.84558647406967e-13,"0","Rps6"
"Rpl26",4.67827880397083e-17,0.424634104593614,0.997,0.92,7.52407580042629e-13,"0","Rpl26"
